Grand Prix,Driver,Car,Time,DriverCode,Year
Monaco,Daniel Ricciardo,Red Bull Racing Renault,1:18.063,RIC,2015
Canada,Kimi Räikkönen,Ferrari,1:16.987,RAI,2015
Austria,Nico Rosberg,Mercedes,1:11.235,ROS,2015
Great Britain,Lewis Hamilton,Mercedes,1:37.093,HAM,2015
Hungary,Daniel Ricciardo,Red Bull Racing Renault,1:24.821,RIC,2015
Belgium,Nico Rosberg,Mercedes,1:52.416,ROS,2015
Italy,Lewis Hamilton,Mercedes,1:26.672,HAM,2015
Singapore,Daniel Ricciardo,Red Bull Racing Renault,1:50.041,RIC,2015
Japan,Lewis Hamilton,Mercedes,1:36.145,HAM,2015
Russia,Sebastian Vettel,Ferrari,1:40.071,VET,2015
United States,Nico Rosberg,Mercedes,1:40.666,ROS,2015
Mexico,Nico Rosberg,Mercedes,1:20.521,ROS,2015
Brazil,Lewis Hamilton,Mercedes,1:14.832,HAM,2015
Abu Dhabi,Lewis Hamilton,Mercedes,1:44.517,HAM,2015
Australia,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:28.997,RIC,2016
Bahrain,Nico Rosberg,Mercedes,1:34.482,ROS,2016
China,Nico Hulkenberg,Force India Mercedes,1:39.824,HUL,2016
Russia,Nico Rosberg,Mercedes,1:39.094,ROS,2016
Spain,Daniil Kvyat,Toro Rosso Ferrari,1:26.948,KVY,2016
Monaco,Lewis Hamilton,Mercedes,1:17.939,HAM,2016
Canada,Nico Rosberg,Mercedes,1:15.599,ROS,2016
Europe,Nico Rosberg,Mercedes,1:46.485,ROS,2016
Austria,Lewis Hamilton,Mercedes,1:08.411,HAM,2016
Great Britain,Nico Rosberg,Mercedes,1:35.548,ROS,2016
Hungary,Kimi Räikkönen,Ferrari,1:23.086,RAI,2016
Germany,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:18.442,RIC,2016
Belgium,Lewis Hamilton,Mercedes,1:51.583,HAM,2016
Italy,Fernando Alonso,McLaren Honda,1:25.340,ALO,2016
Singapore,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:47.187,RIC,2016
Malaysia,Nico Rosberg,Mercedes,1:36.424,ROS,2016
Japan,Sebastian Vettel,Ferrari,1:35.118,VET,2016
United States,Sebastian Vettel,Ferrari,1:39.877,VET,2016
Mexico,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:21.134,RIC,2016
Brazil,Max Verstappen,Red Bull Racing TAG Heuer,1:25.305,VER,2016
Abu Dhabi,Sebastian Vettel,Ferrari,1:43.729,VET,2016
Australia,Kimi Räikkönen,Ferrari,1:26.538,RAI,2017
China,Lewis Hamilton,Mercedes,1:35.378,HAM,2017
Bahrain,Lewis Hamilton,Mercedes,1:32.798,HAM,2017
Russia,Kimi Räikkönen,Ferrari,1:36.844,RAI,2017
Spain,Lewis Hamilton,Mercedes,1:23.593,HAM,2017
Monaco,Sergio Perez,Force India Mercedes,1:14.820,PER,2017
Canada,Lewis Hamilton,Mercedes,1:14.551,HAM,2017
Azerbaijan,Sebastian Vettel,Ferrari,1:43.441,VET,2017
Austria,Lewis Hamilton,Mercedes,1:07.411,HAM,2017
Great Britain,Lewis Hamilton,Mercedes,1:30.621,HAM,2017
Hungary,Fernando Alonso,McLaren Honda,1:20.182,ALO,2017
Belgium,Sebastian Vettel,Ferrari,1:46.577,VET,2017
Italy,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:23.361,RIC,2017
Singapore,Lewis Hamilton,Mercedes,1:45.008,HAM,2017
Malaysia,Sebastian Vettel,Ferrari,1:34.080,VET,2017
Japan,Valtteri Bottas,Mercedes,1:33.144,BOT,2017
United States,Sebastian Vettel,Ferrari,1:37.766,VET,2017
Mexico,Sebastian Vettel,Ferrari,1:18.785,VET,2017
Brazil,Max Verstappen,Red Bull Racing TAG Heuer,1:11.044,VER,2017
Abu Dhabi,Valtteri Bottas,Mercedes,1:40.650,BOT,2017
Australia,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:25.945,RIC,2018
Bahrain,Valtteri Bottas,Mercedes,1:33.740,BOT,2018
China,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:35.785,RIC,2018
Azerbaijan,Valtteri Bottas,Mercedes,1:45.149,BOT,2018
Spain,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:18.441,RIC,2018
Monaco,Max Verstappen,Red Bull Racing TAG Heuer,1:14.260,VER,2018
Canada,Max Verstappen,Red Bull Racing TAG Heuer,1:13.864,VER,2018
France,Valtteri Bottas,Mercedes,1:34.225,BOT,2018
Austria,Kimi Räikkönen,Ferrari,1:06.957,RAI,2018
Great Britain,Sebastian Vettel,Ferrari,1:30.696,VET,2018
Germany,Lewis Hamilton,Mercedes,1:15.545,HAM,2018
Hungary,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:20.012,RIC,2018
Belgium,Valtteri Bottas,Mercedes,1:46.286,BOT,2018
Italy,Lewis Hamilton,Mercedes,1:22.497,HAM,2018
Singapore,Kevin Magnussen,Haas Ferrari,1:41.905,MAG,2018
Russia,Valtteri Bottas,Mercedes,1:35.861,BOT,2018
Japan,Sebastian Vettel,Ferrari,1:32.318,VET,2018
United States,Lewis Hamilton,Mercedes,1:37.392,HAM,2018
Mexico,Valtteri Bottas,Mercedes,1:18.741,BOT,2018
Brazil,Valtteri Bottas,Mercedes,1:10.540,BOT,2018
Abu Dhabi,Sebastian Vettel,Ferrari,1:40.867,VET,2018
Australia,Valtteri Bottas,Mercedes,1:25.580,BOT,2019
Bahrain,Charles Leclerc,Ferrari,1:33.411,LEC,2019
China,Pierre Gasly,Red Bull Racing Honda,1:34.742,GAS,2019
Azerbaijan,Charles Leclerc,Ferrari,1:43.009,LEC,2019
Spain,Lewis Hamilton,Mercedes,1:18.492,HAM,2019
Monaco,Pierre Gasly,Red Bull Racing Honda,1:14.279,GAS,2019
Canada,Valtteri Bottas,Mercedes,1:13.078,BOT,2019
France,Sebastian Vettel,Ferrari,1:32.740,VET,2019
Austria,Max Verstappen,Red Bull Racing Honda,1:07.475,VER,2019
Great Britain,Lewis Hamilton,Mercedes,1:27.369,HAM,2019
Germany,Max Verstappen,Red Bull Racing Honda,1:16.645,VER,2019
Hungary,Max Verstappen,Red Bull Racing Honda,1:17.103,VER,2019
Belgium,Sebastian Vettel,Ferrari,1:46.409,VET,2019
Italy,Lewis Hamilton,Mercedes,1:21.779,HAM,2019
Singapore,Kevin Magnussen,Haas Ferrari,1:42.301,MAG,2019
Russia,Lewis Hamilton,Mercedes,1:35.761,HAM,2019
Japan,Lewis Hamilton,Mercedes,1:30.983,HAM,2019
Mexico,Charles Leclerc,Ferrari,1:19.232,LEC,2019
United States,Charles Leclerc,Ferrari,1:36.169,LEC,2019
Brazil,Valtteri Bottas,Mercedes,1:10.698,BOT,2019
Abu Dhabi,Lewis Hamilton,Mercedes,1:39.283,HAM,2019
Austria,Lando Norris,McLaren Renault,1:07.475,NOR,2020
