Grand Prix,Driver,Car,Time,DriverCode,Year
Netherlands,Jim Clark,Lotus Climax,1:28.080,CLA,1967
Belgium,Dan Gurney,Eagle Climax,3:31.900,GUR,1967
France,Graham Hill,Lotus Climax,1:36.700,HIL,1967
Great Britain,Denny Hulme,Brabham Repco,1:27.000,HUL,1967
Germany,Dan Gurney,Eagle Climax,8:15.100,GUR,1967
Canada,Jim Clark,Lotus Climax,1:23.100,CLA,1967
Italy,Jim Clark,Lotus Climax,1:28.500,CLA,1967
United States,Graham Hill,Lotus Climax,1:06.000,HIL,1967
Mexico,Jim Clark,Lotus Climax,1:48.130,CLA,1967
South Africa,Jim Clark,Lotus Ford,1:23.700,CLA,1968
Spain,Jean-Pierre Beltoise,Matra Ford,1:28.300,BEL,1968
Monaco,Richard Attwood,BRM,1:28.100,ATT,1968
Belgium,John Surtees,Honda,3:30.500,SUR,1968
Netherlands,Jean-Pierre Beltoise,Matra Ford,1:45.910,BEL,1968
France,Pedro Rodriguez,BRM,2:11.500,ROD,1968
Great Britain,Jo Siffert,Lotus Ford,1:29.700,SIF,1968
